Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Saturday,9/11/2021,Slice,19,2,"Slice, Carnival, Blade, Gopher, Huckleberry, Fireball, BumpHer, Old Spice, Lilo, Screech, Halitosis, Samwise, Doppler, Paneer, Flea Fly, Canuck, Tater, Trauma, Royce",2 FNGs! Screech & Royce,9,2021
Tuesday,9/14/2021,Canuck,9,,"Canuck, Carnival, Huckleberry, Samwise, Tater, PrinceSS, Slice, Red Elephant, Slug Bug",,9,2021
Thursday,9/16/2021,"Old Spice, PrinceSS",8,,"Old Spice, PrinceSS, Paneer, Slice, Carnival, Red Elephant, Blade, Tater",Old Spice CoQ!,9,2021
Saturday,9/18/2021,Paneer,13,,"Paneer, Freighter, Flea Fly, Tater, Old Spice, Gopher, Trauma, Carnival, PrinceSS, Blade, Arson, Huckleberry, Slice",IPC Week 2,9,2021
Tuesday,9/21/2021,Halitosis,12,,"Halitosis, Slice, Freighter, Carnival, Blade, Tater, Arson, Trailer Park (DR), PrinceSS, Canuck, Samwise, Royce",Halitosis VQ!,9,2021
Thursday,9/23/2021,Arson,15,,"Arson, Blade, Canuck, Carnival, Cycle Bar, Freighter, Grout, Huckleberry, Metamucil, Paneer, Slice, Retina, Samwise, PrinceSS, Tater",,9,2021
Saturday,9/25/2021,Retina,20,1,"Retina, Royce, Gopher, Samwise, Halitosis, Blade, Paneer, Slice, Freighter, Old Spice, Canuck, Grout, Doppler, Belding, PrinceSS, Carnival, Trauma, Tater, Huckleberry, Lilo",Belding FNG,9,2021
Tuesday,9/28/2021,Tater,11,,"Tater, Canuck, PrinceSS, Freighter, Huckleberry, Gopher, Carnival, Retina, Flea Fly, Metamucil, Doppler",,9,2021
Thursday,9/30/2021,"Samwise, Paneer",10,,"Samwise, Paneer, Slice, Freighter, Huckleberry, Tater, Carnival, Metamucil, PrinceSS, Canuck",Samwise CoQ!,9,2021
Saturday,10/2/2021,PrinceSS,14,,"PrinceSS, Grout, Doppler, Halitosis, Carnival, Shameless, Gopher, Slice, Samwise, Old Spice, Retina, Freighter, Tater, Canuck",,10,2021
Tuesday,10/5/2021,Slice,13,,"Slice, Carnival, Grout, Huckleberry, Lilo, Shameless, Retina, Samwise, Freighter, PrinceSS, Canuck, Tater, Trauma",,10,2021
Thursday,10/7/2021,Red Elephant,13,,"Red Elephant, Huckleberry, Blade, Carnival, Freighter, Samwise, Paneer, Old Spice, Lilo, Trauma, Slice, PrinceSS, Canuck",,10,2021
Saturday,10/9/2021,Freighter,20,,"Freighter, Grout, Lilo, Retina, PrinceSS, Canuck, Trauma, Slice, Blade, Bambino (DR), Samwise, Doppler, Rabbit, Halitosis, Gopher, Paneer, Scalp, Boogeyman, Royce, Horry (DR), ",,10,2021
Tuesday,10/12/2021,Blade,10,2,"Blade, PrinceSS, Slice, Freighter, Carnival, Metamucil, Spud, Shameless, Puck, Bullseye","2 FNGs!!! (Puck, Bullseye)",10,2021
Thursday,10/14/2021,Old Spice ,11,,"Old Spice, Halitosis, Blade, PrinceSS, Bullseye, Shameless, Paneer, Puck, Carnival, Freighter, Slice",Old Spice VQ,10,2021
Saturday,10/16/2021,"Samwise, Slice",15,1,"Slice, Gopher, Paneer, Trauma, Halitosis, Carnival, Watts, Freighter, Blade, Doppler, Punk, Daft, Grout, Scalp, Samwise","Slice Pinch Hit Q, Watts (FNG)",10,2021
Tuesday,10/19/2021,PrinceSS,10,,"PrinceSS, Freighter, Blade, Bullseye, Shameless, Grout, Spud, Scrappy, Boogeyman, Squid",FNG Scrappy,10,2021
Thursday,10/21/2021,Grout,9,,"Grout, Trauma, Freighter, Paneer, Scrappy, Metamucil, Bullseye, PrinceSS, Spud",,10,2021
Saturday,10/23/2021,Trauma,9,,"Trauma, Carnival, PrinceSS, Freighter, Samwise, Chunks, Lilo, Slice, Paneer",,10,2021
Tuesday,10/26/2021,PrinceSS,12,,"PrinceSS, Metamucil, Carnival, Scrappy, Red Elephant, Canuck, Tater, Bullseye, Slice, Freighter, Blade, Retina",Retina Speedo workout,10,2021
Thursday,10/28/2021,Lilo,10,,"Lilo, Scrappy, Freighter, Slice, Paneer, Huckleberry, Carnival, Squid, PrinceSS, BumpHer, Red Elephant",,10,2021
Saturday,10/30/2021,Carnival,10,,"Carnival, Slice, Halitosis, Freighter, Watts, Samwise, Doppler, PrinceSS, Blade, Paneer",,10,2021
Tuesday,11/2/2021,Slice,8,,"Slice, Rabbit, Squid, PrinceSS, Halitosis, Carnival, Freighter, Blade",,11,2021
Thursday,11/4/2021,Retina,10,1,"Retina, Slice, Carnival, Freighter, Paneer, Blade, Scrappy, Flash, Arson, Canuck",Flash FNG,11,2021
Saturday,11/6/2021,Halitosis ,10,,"Halitosis, Freighter, Slice, Rabbit, Hollywood (DR), Doppler, Watts, Blade, Paneer, Huckleberry",SolekIDs Event at Hawks Stadium,11,2021
Tuesday,11/9/2021,Rabbit,9,,"Rabbit, Slice, Freighter, Carnival, Blade, Red Elephant, Metamucil, Old Spice, Squid",,11,2021
Thursday,11/11/2021,Metamucil ,9,,"Metamucil, Paneer, Red Elephant, Squid, Gopher, Samwise, Slice, Freighter, Carnival",Red Elephants 100th F3 Post,11,2021
Saturday,11/13/2021,Carnival,10,,"Carnival, BumpHer, Punk, Daft, Blade, Doppler, Repo, Tater, Watts, Boogeyman",,11,2021
Tuesday,11/16/2021,PrinceSS,7,,"PrinceSS, Squid, Blade, Samwise, Old Spice, Carnival, Slice",,11,2021
Thursday,11/18/2021,Samwise,7,,"Samwise, Freighter, Slice, Arson, Carnival, Blade, PrinceSS",,11,2021
Saturday,11/20/2021,Freighter,15,,"Freighter, Slice, Carnival, Blade, Halitosis, Retina, Arson, Samwise, Watts, PrinceSS, Tater, Boogeyman, Huckleberry, Royce, Canuck",,11,2021
Tuesday,11/23/2021,Blade,5,,"Blade, PrinceSS, Zit, Puck, Slice",FNG Zit,11,2021
Thursday,11/25/2021,PrinceSS,4,,"PrinceSS, Old Spice, Blade, Zit",,11,2021
Saturday,11/27/2021,Tater,7,,"Tater, Freighter, Big Sky, PrinceSS, Blade, Halitosis, KingPin (DR)",,11,2021
Tuesday,11/30/2021,PrinceSS,7,,"PrinceSS, Zit, Carnival, Freighter, Slice, Arson, Blade",,11,2021
Thursday,12/2/2021,Samwise,9,,"Samwise, Puck, Zit, Carnival, Paneer, Freighter, PrinceSS, Trauma, Slice",,12,2021
Saturday,12/4/2021,"Freighter, Paneer, Slice",13,,"Freighter, Paneer, Slice, Carnival, Puck, Doppler, Watts, Samwise, Canuck, Gopher, Halitosis, Zit, Huckleberry",,12,2021
Tuesday,12/7/2021,Huckleberry,7,,"Huckleberry, Freighter, Carnival, PrinceSS, Zit, Squid, Crunch",,12,2021
Thursday,12/9/2021,"Squid, PrinceSS",13,,"Squid, PrinceSS, Boogeyman, Red Elephant, Canuck, Paneer, Freighter, Slice, Carnival, BumpHer, Puck, Samwise, Rabbit",,12,2021
Saturday,12/11/2021,Canuck,26,2,"Canuck, Huckleberry, Lilo, Gopher, Zit, Doppler, Flea Fly, Boogeyman, Arson, Tater, Watts, BumpHer, Freighter, Rocketman, Chunks, Halitosis, Slice, PrinceSS, Paneer, Big Sky, Blade, Carnival, Repo, Joanna, Gas Man, Daft",Tater received hatchet due back in August,12,2021
Tuesday,12/14/2021,Samwise,13,,"Samwise, Slice, Freighter, Carnival, Zit, Gas Man, Retina, PrinceSS, Metamucil, Blade, Arson, Repo, Crunch","2 FNG's Joanna, Gas Man",12,2021
Thursday,12/16/2021,Trauma,11,,"Trauma, Slice, Halitosis, Gas Man, Carnival, PrinceSS, Zit, BumpHer, Arson, Freighter, Paneer",,12,2021
Saturday,12/18/2021,Lilo,18,,"Lilo, Tater, Freighter, Huckleberry, Paneer, Canuck, Boogeyman, Scalp, Big Sky, Carnival, PrinceSS, Trauma, Zit, Doppler, Blade, RocketMan, Gas Man, Daft ",200+ Burpees,12,2021
Tuesday,12/21/2021,Slice,12,,"Slice, Freighter, Tater, Metamucil, Flea Fly, BumpHer, Retina, Gas Man, Grout, Blade, Carnival, Watts",,12,2021
Thursday,12/23/2021,"Zit, Freighter",12,,"Zit, Freighter, Blade, Carnival, Grout, Watts, Red Elephant, Roblox (DR), PrinceSS, Trauma, Paneer, Gas Man",,12,2021
Tuesday,12/28/2021,Arson,6,,"Arson, Blade, Freighter, Grout, PrinceSS, Watts",,12,2021
Thursday,12/30/2021,PrinceSS,6,,"PrinceSS, Paneer, Slice, Grout, Blade, Watts",,12,2021
Saturday,1/1/2022,Huckleberry,10,,"Lilo, Tater, Rocketman, Canuck, Hooch, Boo Boo, Blade, PrinceSS, Paneer, Huckleberry",Goose,1,2022
Tuesday,1/4/2022,PrinceSS,10,1,"PrinceSS, Grout, Carnival, Freighter, Blade, Watts, Retina, Slice, Tbone, Gas Man","PrinceSS B-Day Q & 100th post, Tbone (FNG)",1,2022
Thursday,1/6/2022,Paneer,8,,"Paneer, Freighter, Slice, Zit, PrinceSS, Blade, Gas Man, Carnival",,1,2022
