Tuesday,8/17/2021,Arson,10,,"Arson, Carnival, Freighter, Huckleberry, Lilo, Mantle, Metamucil, PrinceSS, Slice, Tater",Tater's 100th F3 Boise Post,8,2021,,97,Puff,Hooch,,,,,Boo Boo,2,
Thursday,8/19/2021,Flea Fly,8,,"Flea Fly, Huckleberry, PrinceSS, Retina, Freighter, Tater, Repo, Carnival",,8,2021,,98,Rudy,Bumpher,,,,,Westside,2,
Saturday,8/21/2021,PrinceSS ,21,6,"PrinceSS, Blade, Samwise, BumpHer, Kenny G, Slice, Tater, Peloton, Picasso, Sun Devil, Lemon (DR), Judge, Squid, Lilo, Canuck, Geico, Carnival, Huckleberry, Old Spice, Big Sky, Halitosis","6 FNGs!!! Picasso, Sun Devil, Judge, Squid, Geico, Old Spice, New Record turnout!!!",8,2021,,99,Copycat,Bruno,,,,,Markymark (DR),2,
Tuesday,8/24/2021,BumpHer,15,,"BumpHer, Freighter, Huckleberry, PrinceSS, Tater, Samwise, Metamucil, Slice, Grout, Canuck, Squid, Trauma, Carnival, Retina, Old Spice",BumpHer BQ!!,8,2021,,,,,,,,,Boo Boo,2,
Thursday,8/26/2021,Retina,17,,"Retina, Slice, Paneer, PrinceSS, Huckleberry, Tater, Spud, Metamucil, BumpHer, Grout, Carnival, Squid, Canuck, Sun Devil, Repo, Trauma, Shameless",New Weekday Record Turnout!!,8,2021,,,,,,,,,Sun Devil,2,
Saturday,8/28/2021,Lilo,21,3,"Lilo, Huckleberry, Tater, PrinceSS, Paneer, Samwise, Geico, Flea Fly, Carnival, Canuck, Squid, Longhorn, Grout, Gopher, Blade, Sriracha, Chunks, Halitosis, Beans, Slug bug, Sideline","3 FNGs! Beans, Slug bug, Sideline",8,2021,,,,,,,,,Popeye (DR),1,
Tuesday,8/31/2021,PrinceSS,11,,"PrinceSS, Carnival, Tater, Freighter, Metamucil, Scum Devil, Spud, Slice, Trauma, Squid, Canuck",,8,2021,,,,,,,,,Stallion,1,
Thursday,9/2/2021,"Metamucil, Freighter",13,,"Metamucil, Freighter, Slice, Tater, Carnival, Paneer, Spud, Scum Devil, Canuck, Squid, Trauma, PrinceSS, Old Spice",,9,2021,,,,,,,,,Hostage,1,
Saturday,9/4/2021,Freighter,19,1,"Freighter, Scat, PrinceSS, Carnival, Blade, Tater, Paneer, Lilo, Samwise, Retina, Canuck, BumpHer, Slug Bug, Squid, Beans, Fireball, Chunks, Geico, Huckleberry",FNG Scat,9,2021,,,,,,,,,Runt,1,
Tuesday,9/7/2021,Huckleberry,10,,"Huckleberry, Tater, Old Spice, Samwise, PrinceSS, Trauma, Squid, Retina, Slug Bug, Carnival, Road Rash",,9,2021,,,,,,,,,Casper,1,
Thursday,9/9/2021,BumpHer,7,,"BumpHer, Tater, Carnival, PrinceSS, Samwise, Slice, Huckleberry",,9,2021,,,,,,,,,Paddle,1,
Saturday,9/11/2021,Slice,19,2,"Slice, Carnival, Blade, Gopher, Huckleberry, Fireball, BumpHer, Old Spice, Lilo, Screech, Halitosis, Samwise, Doppler, Paneer, Flea Fly, Canuck, Tater, Trauma, Royce",2 FNGs! Screech & Royce,9,2021,,,,,,,,,Sal,1,
Tuesday,9/14/2021,Canuck,9,,"Canuck, Carnival, Huckleberry, Samwise, Tater, PrinceSS, Slice, Red Elephant, Slug Bug",,9,2021,,,,,,,,,Ahi,1,
Thursday,9/16/2021,"Old Spice, PrinceSS",8,,"Old Spice, PrinceSS, Paneer, Slice, Carnival, Red Elephant, Blade, Tater",Old Spice CoQ!,9,2021,,,,,,,,,Depends (DR),1,
Saturday,9/18/2021,Paneer,13,,"Paneer, Freighter, Flea Fly, Tater, Old Spice, Gopher, Trauma, Carnival, PrinceSS, Blade, Arson, Huckleberry, Slice",IPC Week 2,9,2021,,,,,,,,,Tweeter,1,
Tuesday,9/21/2021,Halitosis,12,,"Halitosis, Slice, Freighter, Carnival, Blade, Tater, Arson, Trailer Park (DR), PrinceSS, Canuck, Samwise, Royce",Halitosis VQ!,9,2021,,,,,,,,,LOL (DR),1,
Thursday,9/23/2021,Arson,15,,"Arson, Blade, Canuck, Carnival, Cycle Bar, Freighter, Grout, Huckleberry, Metamucil, Paneer, Slice, Retina, Samwise, PrinceSS, Tater",,9,2021,,,,,,,,,Hombre (DR),1,
Saturday,9/25/2021,Retina,20,1,"Retina, Royce, Gopher, Samwise, Halitosis, Blade, Paneer, Slice, Freighter, Old Spice, Canuck, Grout, Doppler, Belding, PrinceSS, Carnival, Trauma, Tater, Huckleberry, Lilo",Belding FNG,9,2021,,,,,,,,,Earhart,1,
Tuesday,9/28/2021,Tater,11,,"Tater, Canuck, PrinceSS, Freighter, Huckleberry, Gopher, Carnival, Retina, Flea Fly, Metamucil, Doppler",,9,2021,,,,,,,,,Hubble,1,
Thursday,9/30/2021,"Samwise, Paneer",10,,"Samwise, Paneer, Slice, Freighter, Huckleberry, Tater, Carnival, Metamucil, PrinceSS, Canuck",Samwise CoQ!,9,2021,,,,,,,,,Tinkle,1,
Saturday,10/2/2021,PrinceSS,14,,"PrinceSS, Grout, Doppler, Halitosis, Carnival, Shameless, Gopher, Slice, Samwise, Old Spice, Retina, Freighter, Tater, Canuck",,10,2021,,,,,,,,,Beach Bum (DR),1,
Tuesday,10/5/2021,Slice,13,,"Slice, Carnival, Grout, Huckleberry, Lilo, Shameless, Retina, Samwise, Freighter, PrinceSS, Canuck, Tater, Trauma",,10,2021,,,,,,,,,Sockeye,1,
Thursday,10/7/2021,Red Elephant,13,,"Red Elephant, Huckleberry, Blade, Carnival, Freighter, Samwise, Paneer, Old Spice, Lilo, Trauma, Slice, PrinceSS, Canuck",,10,2021,,,,,,,,,Pigeon,5,
Saturday,10/9/2021,Freighter,20,,"Freighter, Grout, Lilo, Retina, PrinceSS, Canuck, Trauma, Slice, Blade, Bambino (DR), Samwise, Doppler, Rabbit, Halitosis, Gopher, Paneer, Scalp, Boogeyman, Royce, Horry (DR), ",,10,2021,,,,,,,,,Picasso,1,
