Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Wednesday,10/6/2021,Blade,13,,"Blade, Boogeyman, Freighter, Rocketman, Carnival, Retina, Trauma, Paneer, Big Sky, PrinceSS, Slice, Halitosis, Little Miss Piggy (DR)",,10,2021
Monday,10/11/2021,Halitosis  ,10,,"Halitosis, Slice, Blade, Doppler, Shameless, Retina, Spud, Scalp, Rocketman, Flea Fly",,10,2021
Wednesday,10/13/2021,Big Sky,9,,"Big Sky, Paneer, Halitosis, Rocketman, Carnival, Blade, Puck, Freighter, Slice",,10,2021
Monday,10/18/2021,"Shameless, Slice",9,,"Shameless, Slice, Flea Fly, Blade, Puck, Big Sky, Scalp, Rocketman, Retina",Shameless CoQ,10,2021
Wednesday,10/20/2021,Blade,9,,"Blade, Rocketman, Retina, Big Sky, Puck, Paneer, Shameless, Grout, Freighter",,10,2021
Monday,10/25/2021,"Boogeyman, Slice",6,,"Boogeyman, Slice, Halitosis, Daft, Carnival, Rocketman",,10,2021
Wednesday,10/27/2021,Blade,6,,"Blade, Rocketman, Carnival","Slice, Freighter, Chunks late from TBY",10,2021
Monday,11/1/2021,Retina,5,,"Retina, Halitosis, Rocketman, Blade, Carnival",,11,2021
Wednesday,11/3/2021,Freighter,8,,"Freighter, Slice, Paneer, Carnival, Blade, Rocketman, Rabbit, Arson",,11,2021
Monday,11/8/2021,Blade,10,1,"Blade, Chunks, Rabbit, Flea Fly, Halitosis, Carnival, Boogeyman, Rocketman, Pikachu (FNG), Slice",,11,2021
Wednesday,11/10/2021,Retina,9,,"Retina, Trauma, Halitosis, Rocketman, Rabbit, Blade, Pikachu, Carnival, Puck",,11,2021
Monday,11/15/2021,Trauma,9,,"Trauma, Squid, Halitosis, Scalp, Blade, PrinceSS, Rabbit, Rocketman, Carnival",,11,2021
Wednesday,11/17/2021,Slice,9,,"Slice, Rabbit, PrinceSS, Carnival, Freighter (late), Paneer (late), Puck, Rocketman, Arson",,11,2021
